ID,COORDS_X,COORDS_Y,AGE,BATHROOMS,HOUSESIZE,LOTSIZE,NEWHOME,POSTFIRM,DFLOOD100,DFLOOD500,FIRSTROW,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,PRICE
6083,2705148.82743893,358774.36014273,34,1.5,2359,0.283,0,0,0,0,0,8152.546,294.075,18462.932,4494.685,7411.391,432000
6084,2704849.51583046,358767.624431081,67,2,2240,0.351,1,0,0,0,0,8153.828,292.793,18160.348,4609.798,7367.137,371300
6085,2705093.99424822,358770.678648779,24,2,2184,0.142,1,1,0,0,0,8154.15,292.471,18408.031,4515.596,7401.403,364200
6087,2708116.28775656,358798.293946671,26,2,1433,0.144,1,1,0,0,0,7801.071,645.55,21413.888,4420.347,8380.127,161100
6089,2705008.55451196,358767.680687095,70,2,2368,0.484,1,0,0,0,0,8157.498,289.123,18324.356,4549.454,7386.045,425200
6090,2704453.16548673,358824.506530704,58,1,920,0.97,0,0,0,1,0,8123.952,322.669,17765.45,4435.475,7368.433,95300
6092,2704473.09066844,358821.666610884,58,1,920,0.97,1,0,0,1,0,8124.877,321.744,17785.62,4451.26,7367.736,89900
6093,2707678.27848574,358796.717473997,6,3,2689,0.114,1,1,0,0,0,7871.947,574.674,20977.42,4302.33,8191.482,655300
6094,2707963.59579598,358733.472203575,56,2,1575,0.384,1,0,0,0,0,7890.615,556.006,21272.435,4440.384,8254.491,180500
6096,2704448.30274871,358796.860688806,58,1,920,0.97,1,0,0,1,0,8151.878,294.743,17763.537,4452.299,7340.486,90700
6098,2708363.42347089,358767.416261872,8,2,1652,0.178,0,1,0,0,0,7793.693,652.928,21662.528,4533.48,8465.082,238600
6099,2704468.59586755,358794.049799246,58,1,920,0.97,1,0,0,1,0,8152.747,293.874,17784.071,4468.256,7339.845,90800
6100,2707197.94406666,358730.552506047,61,1,1161,0.201,1,0,0,0,0,8076.281,370.34,20503.667,4295.336,7930.57,116900
6101,2714537.98403608,358701.867753857,54,1,1248,0.858,0,0,1,0,0,7807.593,639.028,27827.619,8931.836,10476.015,119900
6104,2703755.80052373,358752.050196737,54,2,1780,0.458,1,0,1,0,1,8313.335,133.286,17081.227,4048.11,7255.473,324300
6106,2715066.10806051,358720.592068162,94,1,1008,0.543,1,0,1,0,0,8197.444,249.177,28345.937,9382.029,10607.32,114500
6107,2708620.92667079,358579.515480376,50,3,2538,0.895,1,0,0,0,0,7958.198,488.423,21936.085,4800.088,8430.336,491600
6108,2710448.55078746,358712.639009053,15,1,1286,0.141,1,1,1,0,0,7541.281,905.34,23745.71,5681.879,9436.542,123800
6109,2715250.15311395,358697.163157596,54,1,1074,0.343,1,0,0,0,0,8336.593,110.028,28533.16,9514.129,10639.691,122400
6110,2708221.16360532,358730.869760451,59,1,1000,0.276,1,0,0,0,0,7854.513,592.108,21518.712,4518.152,8362.547,95000
6111,2707680.07919171,358745.008385865,5,3.5,2516,0.111,1,1,0,0,0,7922.198,524.423,20983.813,4352.875,8145.489,577600
6112,2703840.30115484,358741.289160537,77,3,2650,0.288,1,0,1,0,1,8303.737,142.884,17165.614,4107.128,7245.736,814900
6113,2710491.3377499,358702.214448688,15,1,1286,0.146,0,1,1,0,0,7539.163,907.458,23789.721,5718.755,9449.891,131400
6114,2708718.37756634,358717.160281754,47,2,1624,0.208,0,0,0,0,0,7828.984,617.637,22021.52,4720.766,8593.146,198000
6115,2703900.06729494,358734.857343003,80,2.5,2788,0.4,1,0,1,0,1,8293.396,153.225,17225.591,4147.018,7242.364,915300
6116,2710549.80185487,358677.055524641,10,2,1206,0.284,0,1,1,0,0,7548.345,898.276,23839.134,5764.947,9459.095,136800
6118,2703962.87434265,358729.45364092,55,2,1603,0.429,1,0,1,0,1,8283.485,163.136,17288.435,4190.003,7238.035,267600
6119,2708859.33512173,358648.941068274,39,1,1144,0.27,0,0,0,0,0,7891.014,555.607,22167.195,4829.558,8620.036,118700
6121,2708934.61244473,358708.709064569,64,1,1344,0.275,1,0,0,0,0,7853.794,592.827,22236.514,4823.098,8696.437,133900
6122,2708101.99171924,358702.234294457,45,2,1398,0.16,1,0,0,0,0,7897.829,548.792,21408.366,4506.752,8288.032,152100
6124,2709009.60870074,358571.068748881,69,2,1904,0.9,0,0,0,0,0,7999.075,447.546,22324.909,4980.99,8618.765,279400
6125,2714331.61862012,358633.364877285,64,1.5,864,0.55,1,0,1,0,0,7617.675,828.946,27620.29,8774.844,10381.774,78800
6127,2705841.56451594,358695.936380427,47,2,1697,0.126,1,0,1,0,1,8228.688,217.933,19160.043,4379.458,7476.381,282500
6128,2705891.85654696,358694.229483762,58,3,2166,0.126,1,0,1,0,1,8229.406,217.215,19209.609,4370.678,7488.118,466100
6129,2709094.38462661,358658.788022316,59,1,1256,0.227,1,0,0,0,0,7920.029,526.592,22401.12,4943.593,8738.282,123400
6130,2705792.19799421,358692.558207656,57,2,1581,0.115,1,0,1,0,1,8229.44,217.181,19109.762,4390.404,7463.32,252000
6131,2710364.8140303,358720.393955002,17,2,1330,0.97,1,1,1,0,0,7556.618,890.003,23659.274,5617.816,9400.638,141100
6132,2705942.04587318,358693.122447221,58,1.5,1612,0.127,1,0,1,0,1,8229.607,217.014,19260.024,4363.284,7499.413,251100
6133,2705991.67190622,358691.919895385,62,2,1106,0.126,1,0,1,0,1,8225.877,220.744,19309.508,4356.023,7511.369,159700
6134,2706041.98797629,358690.739105455,58,2,1092,0.126,1,0,1,0,1,8222.102,224.519,19359.742,4349.231,7523.808,156400
6135,2709149.55590917,358655.541343376,64,2,1196,0.227,1,0,0,0,0,7925.617,521.004,22456.643,4973.664,8762.125,126600
6137,2706092.43051576,358689.645468997,62,4,2496,0.126,1,0,1,0,1,8218.288,228.333,19410.223,4342.963,7536.649,657500
6138,2706142.10505394,358688.038588632,62,1,1100,0.126,0,0,1,0,1,8214.607,232.014,19459.212,4337.458,7549.394,155400
6139,2706190.98970871,358687.139884303,59,2,2376,0.126,1,0,1,0,1,8210.883,235.738,19508.322,4332.456,7562.503,535500
6140,2706242.26250145,358674.021555455,64,2.5,2514,0.163,0,0,1,0,1,8218.954,227.667,19560.869,4339.777,7565.043,675000
6141,2709204.08793265,358651.742997304,59,1,925,0.227,0,0,0,0,0,7925.532,521.089,22511.103,5003.71,8782.254,94900
6142,2706299.42917354,358684.469511005,57,2,2164,0.151,0,0,1,0,1,8202.733,243.888,19616.398,4323.454,7592.351,462300
6144,2710399.49549188,358710.329199278,17,2,1330,0.97,0,1,1,0,0,7558.762,887.859,23695.586,5650.808,9407.784,149700
6145,2706372.89316924,358675.685616944,42,3,2323,0.24,0,0,1,0,1,8205.282,241.339,19690,4326.968,7605.585,575100
6146,2704159.98424084,358704.660667272,56,3,2714,0.798,1,0,1,0,1,8271.575,175.046,17487.278,4332.308,7223.402,816300
6147,2705719.86382085,358670.889112331,54,2,1888,0.204,1,0,1,0,1,8243.1,203.521,19035.225,4420.171,7432.042,341400
6149,2706466.99436175,358680.352397154,48,2.5,2372,0.255,1,0,0,0,1,8198.902,247.719,19783.319,4314.878,7641.235,592700
6150,2709344.38620927,358568.089441027,56,2,1908,1.606,1,0,0,0,0,7985.787,460.834,22657.995,5146.457,8769.008,263300
6151,2706562.37595463,358659.402100617,53,2.5,2607,0.303,0,0,0,0,1,8230.625,215.996,19880.942,4336.246,7648.619,795700
6153,2706642.49146517,358675.938486682,46,2.5,2736,0.179,0,0,0,0,1,8214.331,232.29,19958.104,4312.863,7695.885,892500
6154,2706705.91119252,358658.875674948,12,3.5,3059,0.181,1,1,0,0,1,8235.774,210.847,20023.413,4329.752,7701.294,1369900
6155,2706780.82034231,358656.998014888,62,2,2529,0.284,1,0,0,0,1,8242.364,204.257,20098.213,4332.162,7725.155,685400
6157,2715472.59466308,358644.317707129,20,2,1352,0.349,1,1,0,0,0,8396.564,50.057,28762.328,9684.655,10636.176,204000
6158,2706862.50081684,358670.746748658,57,2,1814,0.179,1,0,0,0,1,8227.584,219.037,20177.777,4320.38,7765.967,341300
6161,2704245.71595416,358703.240626917,53,1.5,2641,0.508,1,0,1,0,1,8267.642,178.979,17590.543,4403.033,7225.115,689900
6162,2709490.25025024,358564.71405785,44,2,2596,0.915,1,0,0,0,0,7962.84,483.781,22803.013,5224.761,8832.884,496900
6163,2708348.31777121,358692.279976442,8,2,1427,0.97,1,1,0,1,0,7870.237,576.384,21654.598,4598.255,8391.727,176600
6164,2709626.70717212,358550.093716216,56,3.5,3323,1.414,1,0,0,0,0,7944.592,502.029,22942.077,5318.318,8877.301,1057200
6165,2715590.55040285,358557.397637075,34,1,1570,0.484,1,0,0,0,1,8313.687,132.934,28904.338,9818.718,10601.388,276400
6166,2708160.8347588,358572.500346188,84,1.5,840,0.523,1,0,0,0,0,8046.475,400.146,21481.33,4676.16,8172.058,96800
6169,2708239.24892531,358643.778486502,53,1.5,832,0.146,0,0,0,1,0,7936.195,510.426,21549.806,4607.166,8296.513,84400
6170,2709840.52391048,358612.308281651,54,2,1914,0.418,0,0,0,0,0,7821.743,624.878,23150.318,5388.357,9035.828,262200
6173,2714439.3676719,358618.369785709,64,1,774,0.192,1,0,1,0,0,7684.363,762.258,27732.425,8879.5,10385.235,69200
6174,2709848.46671493,358452.235163997,59,1,1692,0.415,1,0,0,0,0,7918.065,528.556,23175.17,5483.212,8951.68,189200
6175,2714832.02555855,358535.769807344,25,1.5,1904,1.308,1,1,0,0,0,7908.955,537.666,28133.411,9266.314,10380.797,260900
6178,2707077.97082635,358619.485834075,65,1.5,2362,0.186,1,0,0,0,1,8203.746,242.875,20399.3,4379.385,7799.385,556600
6179,2704500.62679048,358677.144656185,54,1.5,2574,0.361,1,0,1,0,1,8265.863,180.758,17843.697,4586.824,7227.709,644300
6180,2710024.81535466,358571.077216758,27,1.5,2160,0.583,1,1,0,0,0,7801.895,644.726,23336.411,5525.748,9096.629,315700
6184,2704566.7284197,358668.925427604,52,1,1758,0.395,0,0,1,0,1,8267.652,178.969,17896.812,4627.623,7227.216,302500
6185,2708345.88023065,358655.819762492,8,2.5,1488,0.97,0,1,0,1,0,7907.313,539.308,21657.56,4633.062,8358.439,206000
6187,2710154.70596697,358554.10512939,48,2,1358,0.653,1,0,0,1,0,7778.168,668.453,23475.195,5623.409,9151.897,136300
6192,2705585.86079635,358650.959979965,54,2,2941,0.416,1,0,1,0,1,8272.299,174.322,18903.935,4480.518,7373.461,946800
6193,2708703.95529998,358600.993978792,57,2,2240,0.209,0,0,0,0,0,7945.594,501.027,22017.859,4820.824,8484.79,364400
6198,2708938.75062575,358611.406164032,69,1,742,0.171,1,0,0,0,0,7952.992,493.629,22251.548,4913.954,8615.11,76600
6201,2708087.41488122,358603.929767869,46,1.5,1320,0.159,1,0,0,0,0,7996.865,449.756,21403.252,4595.656,8193.907,138900
6202,2710689.90107477,358636.126253129,10,2.5,800,0.97,0,1,1,0,0,7566.43,880.191,23992.13,5898.353,9502.48,96900
6203,2704695.70566071,358643.955015419,50,2,1824,0.116,1,0,1,0,1,8282.875,163.746,18027.463,4734.479,7219.076,328100
6207,2711236.36609996,358520.25776939,94,1,1140,0.657,1,0,0,0,0,7581.466,865.155,24546.936,6363.005,9662.94,123600
6210,2710721.15611748,358626.027230319,10,2.5,800,0.97,1,1,1,0,0,7571.063,875.558,24024.287,5927.093,9511.163,91400
6211,2704812.01181605,358636.088633229,67,2,2240,0.351,1,0,1,0,1,8291.189,155.432,18142.319,4748.882,7226.55,502900
6212,2708338.64129062,358627.551592996,8,2.5,1688,0.97,1,1,0,1,0,7935.554,511.067,21650.876,4655.199,8330.118,236900
6214,2710797.28043578,358613.317968976,10,2.5,1072,0.97,1,1,1,0,0,7570.6,876.021,24101.34,5988.363,9542.569,119300
6217,2710222.54203861,358397.798905794,59,2,1700,0.867,1,0,0,1,0,7895.3,551.321,23545.623,5769.575,9061.41,195000
6218,2705160.15695757,358633.480846238,34,1.5,2359,0.283,0,0,1,0,1,8291.588,155.033,18490.358,4621.141,7276.111,585500
6219,2704860.16700814,358632.823998409,67,2,2240,0.351,1,0,1,0,1,8293.44,153.181,18191.643,4731.527,7231.088,503700
6220,2710816.00811596,358606.999155438,10,2.5,800,0.97,0,1,1,0,0,7573.56,873.061,24120.607,6005.801,9547.801,97000
6221,2705012.15119716,358628.70036845,70,2,2368,0.484,1,0,1,0,1,8297.722,148.899,18338.595,4680.179,7247.066,577700
6222,2705095.35414981,358630.888604805,24,2,2184,0.142,1,1,1,0,1,8295.565,151.056,18429.05,4645.934,7262.494,494700
6223,2704887.36359239,358631.220713204,67,2,2240,0.351,1,0,1,0,1,8295.062,151.559,18217.541,4723.022,7233.027,504200
6225,2707144.92305119,358581.788763667,32,2,1440,0.106,0,0,0,0,1,8217.932,228.689,20467.349,4422.033,7788.882,261200
6228,2711333.14831418,358496.740926359,74,1.73,930,0.468,1,0,0,0,0,7582.865,863.756,24645.691,6448.141,9672.338,94400
6230,2710351.40587319,358562.467071274,10,2.5,2036,0.168,1,1,0,0,0,7728.31,718.311,23661.538,5744.076,9243.989,326200
6231,2707848.41461272,358526.178296205,28,3.5,3352,0.38,1,1,0,0,0,8110.581,336.04,21174.007,4605.772,8018.997,1138900
6232,2715028.44742011,358540.796509301,28,2,1560,0.344,1,1,0,0,0,8059.827,386.794,28323.368,9433.238,10425.218,192200
6233,2711432.99606389,358478.999595146,19,1,2100,0.674,1,1,0,0,0,7581.789,864.832,24754.35,6540.643,9686.407,291500
6234,2708241.94951362,358554.594015534,54,2,1250,0.076,1,0,0,0,0,8021.844,424.777,21561.703,4690.633,8220.853,134200
6235,2714488.57085406,358521.411561611,28,2,1138,0.385,1,1,1,0,0,7639.706,806.915,27780.103,8964.811,10292.035,109300
6236,2708336.99191471,358535.958544438,19,2.5,1113,0.196,1,1,0,0,0,8042.922,403.699,21664.042,4758.345,8235.327,133200
6238,2708763.70276198,358482.179051574,44,1.5,1634,0.494,1,0,0,0,0,8063.345,383.276,22089.023,4951.729,8415.458,194000
6239,2707193.53895017,358555.140511622,53,2,1196,0.028,1,0,0,0,1,8232.142,214.479,20516.135,4457.158,7777.805,187100
6240,2710079.33495979,358497.867891162,48,2,1358,0.653,1,0,0,1,0,7837.1,609.521,23390.747,5597.345,9077.194,137600
6241,2709724.42658474,358465.015709143,59,1.5,1923,0.432,1,0,0,0,0,7993.556,453.065,23046.829,5439.864,8853.114,250100
