ID1,COORDS_X,COORDS_Y,AGE_1,BATHROOM_1,BEDROOMS,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,PROXAMEN_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
3526.0,2713318.2934739683,365591.97996001,26.0,1.5,3.0,1883.0,0.702,1.0,1.0,1.0,0.0,0,8216.382,230.239,26980.918,3264.31,16836.658,251300.0
3528.0,2706092.026729273,365654.5498312469,75.0,1.0,3.0,817.0,0.593,1.0,0.0,0.0,0.0,0,4834.133,3612.488,19963.46,147.864,14345.911,67800.0
3530.0,2710355.691784536,365615.2087356616,13.0,1.0,3.0,960.0,0.319,1.0,1.0,0.0,1.0,0,6659.085999999999,1787.535,24080.028,1179.99,15511.855,86200.0
3533.0,2710641.5558924256,365593.89596651006,14.0,2.0,2.0,1782.0,0.365,1.0,1.0,0.0,1.0,0,6937.543999999999,1509.077,24354.506,1264.206,15605.701,208700.0
3534.0,2713100.810137991,365551.2456967075,8.0,2.0,3.0,1973.0,0.863,1.0,1.0,1.0,0.0,0,8033.168999999999,413.452,26760.048,3102.768,16693.756,302600.0
3535.0,2713781.6301609348,365518.21914319723,13.0,2.0,3.0,2855.0,1.177,1.0,1.0,1.0,0.0,1,8419.88,26.741,27419.94,3700.272,16990.945,1239100.0
3537.0,2712775.835654368,365378.1375050038,64.0,2.5,4.0,3236.0,4.232,1.0,0.0,1.0,0.0,0,7845.731999999999,600.889,26431.973,2900.447,16434.992,932400.0
3538.0,2705419.637671534,365569.42229105986,24.0,2.0,3.0,1248.0,0.353,1.0,1.0,0.0,1.0,0,5355.838999999999,3090.782,19262.056,530.322,14180.336,107800.0
3540.0,2708152.1474441136,365549.8166172759,51.0,1.0,3.0,1170.0,0.553,0.0,0.0,0.0,0.0,0,5140.117999999999,3306.503,21913.865,1982.594,14699.333,99300.0
3542.0,2705811.6589686326,365539.3049162699,64.0,2.0,2.0,1048.0,0.64,1.0,0.0,0.0,1.0,0,5033.655999999999,3412.965,19633.871,180.853,14202.852,84000.0
3543.0,2710548.7487351084,365545.79156514094,10.0,2.0,3.0,1022.0,0.295,0.0,1.0,0.0,1.0,0,6833.730999999999,1612.89,24250.091,1279.618,15524.968,108400.0
3545.0,2706210.727299911,365518.10355060454,94.0,1.0,2.0,1104.0,0.693,1.0,0.0,0.0,1.0,0,4696.532999999999,3750.088,20016.182,179.236,14239.374,94400.0
3548.0,2710306.364857742,365540.8366634219,7.0,2.0,3.0,1247.0,0.303,1.0,1.0,0.0,1.0,0,6598.323999999999,1848.297,24015.635,1250.945,15422.877,128600.0
3549.0,2710932.654922379,365515.84645529755,28.0,2.0,3.0,1567.0,0.477,1.0,1.0,0.0,1.0,0,7204.984999999999,1241.636,24624.468,1454.021,15656.695,159800.0
3550.0,2713415.6864643823,365480.7791861482,26.0,2.5,3.0,2376.0,0.688,0.0,1.0,1.0,0.0,0,8197.451,249.17,27057.963,3407.64,16783.168,450700.0
3553.0,2710707.3794429945,365464.0732571306,21.0,2.0,3.0,1349.0,0.385,1.0,1.0,0.0,1.0,0,6968.5599999999995,1478.061,24387.801,1405.898,15512.974,131500.0
3555.0,2710258.250116772,365468.7869246492,12.0,2.0,3.0,1066.0,0.301,1.0,1.0,0.0,1.0,0,6537.748,1908.873,23953.95,1321.416,15337.375,103100.0
3556.0,2710498.703691695,365471.54285993375,7.0,2.0,3.0,1243.0,0.145,1.0,1.0,0.0,1.0,0,6773.305999999999,1673.315,24190.144,1344.82,15435.989,128900.0
3558.0,2710018.962002326,365388.4635705079,14.0,3.0,0.0,1600.0,0.426,1.0,1.0,0.0,1.0,0,6289.239,2157.382,23706.371,1444.867,15147.478,178300.0
3560.0,2708198.091111999,365425.70541471575,59.0,1.0,2.0,1330.0,0.506,0.0,0.0,0.0,0.0,0,5277.321999999999,3169.299,21943.893,1988.508,14597.12,116700.0
3562.0,2711160.069212735,365419.19948496466,18.0,4.5,4.0,2568.0,0.612,1.0,1.0,0.0,1.0,0,7362.852999999999,1083.768,24799.009,1620.618,15668.418,491000.0
3563.0,2710981.4049731037,365428.6715879278,28.0,1.0,3.0,1392.0,0.47,1.0,1.0,0.0,1.0,0,7224.415999999999,1222.205,24654.035,1546.992,15603.111,125400.0
3564.0,2711353.991790742,365384.7198538517,54.0,1.0,3.0,1295.0,1.16,0.0,0.0,0.0,1.0,0,7528.361999999999,918.259,24992.815,1778.687,15716.739,122800.0
3565.0,2713250.4004173535,365364.21861430246,26.0,2.0,3.0,2128.0,0.927,1.0,1.0,1.0,0.0,0,8001.553999999999,445.067,26876.12,3326.256,16601.9,308700.0
3566.0,2708218.0517341746,365358.2778558853,64.0,1.0,2.0,1247.0,0.625,1.0,0.0,0.0,0.0,0,5346.0869999999995,3100.534,21954.597,1988.002,14542.66,102900.0
3568.0,2710625.5707362485,365402.30173706746,18.0,1.5,3.0,960.0,0.303,1.0,1.0,0.0,1.0,0,6880.576999999999,1566.044,24302.978,1439.396,15428.244,87900.0
3569.0,2705511.6914378256,365477.11121656187,28.0,2.0,0.0,1344.0,0.97,1.0,1.0,0.0,1.0,0,5225.467999999999,3221.153,19327.644,481.726,14099.736,117500.0
3570.0,2710455.2289689067,365405.74509366555,11.0,2.0,3.0,1310.0,0.268,0.0,1.0,0.0,1.0,0,6715.189999999999,1731.431,24134.527,1401.963,15358.057,141200.0
3571.0,2708281.669661935,365304.726202173,44.0,1.0,3.0,1594.0,0.876,0.0,0.0,0.0,0.0,0,5420.543,3026.078,21989.55,2011.882,14501.005,153800.0
3572.0,2710210.622673938,365398.66599072,6.0,2.0,3.0,1188.0,0.301,1.0,1.0,0.0,1.0,0,6476.278999999999,1970.342,23893.423,1391.148,15254.472,121700.0
3574.0,2709113.6777622923,365328.4057324033,44.0,1.0,1.0,728.0,0.658,1.0,0.0,0.0,0.0,0,5701.253999999999,2745.367,22807.187,1841.072,14789.789,62600.0
3576.0,2713569.9433635906,365304.2568709021,29.0,2.0,3.0,1675.0,0.918,0.0,1.0,1.0,0.0,0,8195.83,250.791,27179.408,3630.207,16703.364,222300.0
3577.0,2710411.7386973705,365339.6396599952,13.0,1.0,3.0,1000.0,0.268,1.0,1.0,0.0,1.0,0,6655.481999999999,1791.139,24079.087,1461.549,15279.829,89600.0
3578.0,2708329.7546960344,365238.86422260175,35.0,2.0,3.0,1599.0,0.629,1.0,0.0,0.0,0.0,0,5495.566999999999,2951.054,22019.191,2029.954,14454.961,160000.0
3579.0,2710163.480520107,365328.0321727238,13.0,1.5,3.0,1008.0,0.303,1.0,1.0,0.0,1.0,0,6413.352999999999,2033.268,23833.318,1463.526,15170.761,92800.0
3580.0,2710578.24480329,365325.84089519666,18.0,1.0,3.0,1008.0,0.269,1.0,1.0,0.0,1.0,0,6810.421999999999,1636.199,24240.162,1504.28,15335.714,88000.0
3582.0,2711456.5154891456,365281.9565249466,18.0,2.0,3.0,1666.0,0.592,0.0,1.0,0.0,0.0,0,7564.268999999999,882.352,25087.25,1932.741,15674.554,218800.0
3584.0,2706322.0317915166,365280.58503459295,60.0,1.5,3.0,1476.0,0.507,1.0,0.0,0.0,1.0,0,4470.763999999999,3975.857,20065.916,187.153,14021.774,119800.0
3585.0,2714024.3372424995,365190.61636212573,13.0,2.5,3.0,2700.0,0.838,1.0,1.0,1.0,0.0,1,8352.045999999998,94.575,27608.626,4072.768,16826.94,955400.0
3586.0,2710794.2710438203,365292.0183744445,20.0,2.0,4.0,1783.0,0.351,0.0,1.0,0.0,1.0,0,6993.267999999999,1453.353,24438.855,1601.754,15388.9,213800.0
3587.0,2708371.909806512,365186.37006137724,45.0,1.0,2.0,1156.0,0.546,1.0,0.0,0.0,0.0,0,5560.761999999999,2885.859,22048.692,2049.338,14417.772,94200.0
3589.0,2700966.439498811,365260.73147160537,49.0,1.0,3.0,1326.0,0.585,1.0,0.0,1.0,0.0,0,7676.831999999999,769.789,14904.197,3058.06,11919.532,118100.0
3590.0,2709465.5130384793,365295.88097830344,22.0,2.0,0.0,2602.0,0.97,1.0,1.0,0.0,1.0,0,5794.272999999999,2652.348,23143.184,1681.153,14879.982,415100.0
3591.0,2710113.0169161004,365255.19014995167,5.0,2.0,3.0,1218.0,0.316,1.0,1.0,0.0,1.0,0,6344.813999999999,2101.807,23769.382,1539.076,15084.153,125700.0
3592.0,2710533.6260022554,365258.4076025196,19.0,1.0,3.0,1004.0,0.269,1.0,1.0,0.0,1.0,0,6745.755999999999,1700.865,24183.478,1561.016,15255.614,86700.0
3594.0,2713090.286735743,365188.11718754144,26.0,2.0,3.0,1520.0,0.671,1.0,1.0,1.0,0.0,0,7764.297,682.324,26684.886,3271.916,16373.078,163300.0
3595.0,2713389.425832393,365137.4762195702,29.0,2.5,4.0,2468.0,1.299,1.0,1.0,1.0,0.0,0,7968.142999999999,478.478,26971.985,3557.833,16469.249,434400.0
3596.0,2701549.705622132,365074.0622224772,42.0,1.0,2.0,660.0,26.98,1.0,0.0,1.0,0.0,0,7299.075999999999,1147.545,15397.861,2976.509,12122.363,151100.0
3598.0,2701095.8416629313,364562.8439617746,42.0,1.0,2.0,660.0,26.98,1.0,0.0,0.0,0.0,1,7950.082999999999,496.538,14807.941,2438.922,11449.914,244200.0
3599.0,2706343.732431975,365197.6747057824,74.0,1.5,4.0,2061.0,0.693,0.0,0.0,0.0,1.0,0,4402.686999999999,4043.934,20070.775,177.542,13944.863,232000.0
3600.0,2705991.0570985028,365185.36662189895,44.0,1.5,4.0,2188.0,0.615,1.0,0.0,0.0,1.0,0,4669.089999999999,3777.531,19729.25,147.546,13879.478,239800.0
3602.0,2713684.3657910433,365142.0327716666,24.0,2.5,3.0,3354.0,1.026,1.0,1.0,1.0,0.0,0,8230.573999999999,216.047,27261.868,3808.115,16617.254,1101800.0
3603.0,2710739.85137739,365213.85729560786,19.0,1.5,3.0,1036.0,0.282,0.0,1.0,0.0,1.0,0,6917.981999999999,1528.639,24375.997,1654.916,15301.122,100000.0
3604.0,2710324.092279434,365208.41439109587,10.0,1.5,3.0,1092.0,0.268,1.0,1.0,0.0,1.0,0,6531.447999999999,1915.173,23967.961,1584.082,15124.621,103800.0
3605.0,2710489.024885959,365192.56479140575,18.0,1.0,3.0,972.0,0.269,1.0,1.0,0.0,1.0,0,6680.610999999999,1766.01,24127.373,1617.496,15177.675,84300.0
3606.0,2710059.721837995,365179.2046713771,4.0,2.0,3.0,1184.0,0.33,0.0,1.0,0.0,1.0,0,6271.231999999999,2175.389,23702.303,1619.395,14993.578,129800.0
3607.0,2711597.9122106875,365138.32840062294,21.0,1.0,3.0,1168.0,0.635,0.0,1.0,0.0,0.0,0,7572.891,873.73,25198.791,2133.943,15608.596,123300.0
3608.0,2711959.468360756,365085.0595424783,32.0,1.0,3.0,1456.0,0.792,1.0,0.0,1.0,0.0,0,7730.342999999999,716.278,25555.479,2425.765,15734.967,141300.0
3609.0,2710700.048351014,365144.2721500337,19.0,1.0,4.0,1168.0,0.293,1.0,1.0,0.0,1.0,0,6851.356999999999,1595.264,24323.582,1711.382,15219.804,102600.0
3610.0,2708480.6702382956,365057.7729227394,46.0,1.0,3.0,1404.0,0.65,1.0,0.0,0.0,0.0,0,5723.857999999999,2722.763,22128.91,2103.695,14329.664,120800.0
3611.0,2710278.52857454,365139.4678551267,6.0,2.0,3.0,1288.0,0.284,1.0,1.0,0.0,1.0,0,6464.793,1981.828,23910.244,1650.919,15043.235,134100.0
3612.0,2712320.681604166,365074.17563730007,21.0,2.5,3.0,2811.0,1.277,1.0,1.0,1.0,0.0,0,7791.525999999999,655.095,25842.125,2632.396,15885.206,604300.0
3613.0,2706404.2008653474,365089.26505847723,76.0,1.0,3.0,2072.0,1.182,1.0,0.0,0.0,1.0,0,4315.419999999999,4131.201,20094.306,180.932,13848.697,216800.0
3614.0,2710445.2942939107,365126.9843840734,19.0,1.5,3.0,984.0,0.269,1.0,1.0,0.0,1.0,0,6615.273999999999,1831.347,24072.446,1676.265,15099.925,87900.0
3616.0,2712982.890445424,365068.75090870756,26.0,2.0,3.0,2089.0,0.75,1.0,1.0,1.0,0.0,0,7603.569999999999,843.051,26551.587,3229.724,16219.657,276500.0
3617.0,2711747.872277201,365069.87898053095,14.0,3.0,3.0,2084.0,0.584,1.0,1.0,1.0,0.0,0,7617.083999999999,829.537,25335.201,2282.903,15618.728,311100.0
3620.0,2710659.695581265,365075.6682205849,17.0,2.0,3.0,1036.0,0.301,1.0,1.0,0.0,1.0,0,6784.066999999999,1662.554,24271.184,1767.121,15140.585,98100.0
3621.0,2708540.308081819,364991.94173652155,46.0,2.0,4.0,2040.0,0.807,1.0,0.0,0.0,1.0,0,5808.847999999999,2637.773,22173.409,2134.37,14285.819,227600.0
3622.0,2706063.591868415,365057.0794934277,48.0,1.5,3.0,1766.0,0.578,1.0,0.0,0.0,1.0,0,4606.731999999999,3839.889,19765.404,135.979,13761.636,158800.0
3623.0,2710233.0616785926,365065.3106310336,5.0,2.0,3.0,1248.0,0.311,1.0,1.0,0.0,1.0,0,6395.877999999999,2050.743,23850.407,1714.083,14965.188,129800.0
3624.0,2713517.8480017576,364985.6027362733,30.0,2.5,4.0,2436.0,1.011,1.0,0.0,1.0,0.0,0,8011.953999999999,434.667,27073.253,3743.719,16400.666,429700.0
3625.0,2710386.945189388,365059.0578971647,19.0,1.0,3.0,864.0,0.275,0.0,1.0,0.0,1.0,0,6550.198999999999,1896.422,24016.547,1726.931,15029.631,79400.0
3626.0,2708895.40738506,365013.7980273555,74.0,1.0,3.0,1660.0,0.547,1.0,0.0,0.0,1.0,0,5926.562999999999,2520.058,22514.647,2229.652,14419.215,151600.0
3627.0,2708128.761975202,364995.2658574912,54.0,1.0,3.0,1306.0,0.345,1.0,0.0,0.0,1.0,0,5601.638999999999,2844.982,21779.206,1760.751,14167.867,101300.0
3629.0,2711818.940288766,364980.27016675426,22.0,1.0,3.0,1681.0,0.558,1.0,1.0,1.0,0.0,0,7581.1089999999995,865.512,25388.222,2389.913,15578.111,175600.0
3630.0,2713230.7853365266,364947.816309831,28.0,2.0,3.0,1670.0,0.918,0.0,1.0,1.0,0.0,0,7739.951999999999,706.669,26784.788,3518.897,16225.587,199100.0
3632.0,2708606.994727414,364886.98387106997,44.0,1.0,2.0,1500.0,1.083,0.0,0.0,0.0,1.0,0,5927.923999999999,2518.697,22216.021,2156.65,14210.019,135500.0
3633.0,2706573.2136837295,364643.0824603071,80.0,1.0,3.0,964.0,5.25,1.0,0.0,0.0,1.0,0,4718.138999999999,3728.482,20180.941,179.763,13445.973,86900.0
3634.0,2713829.3776217434,364920.76828387985,24.0,1.5,3.0,2754.0,0.876,1.0,1.0,1.0,0.0,1,8206.214999999998,240.406,27375.581,4051.723,16500.702,795900.0
3636.0,2706318.9570238376,364985.8340552274,14.0,1.0,2.0,720.0,0.188,1.0,1.0,0.0,1.0,0,4410.793999999999,4035.827,19999.263,71.462,13729.784,60900.0
3637.0,2701844.093351329,364771.5809239857,42.0,1.0,2.0,660.0,26.98,1.0,0.0,1.0,0.0,0,7130.115999999999,1316.505,15629.564,2754.437,11967.624,148900.0
