ID,COORDS_X,COORDS_Y,AGE,BATHROOMS,BEDROOMS,HOUSESIZE,LOTSIZE,NEWHOME,POSTFIRM,FIRSTROW,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,PROXAMEN,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,DFLOOD100,DFLOOD500,PRICE_REGR,PRICE_KRIGING
5784.0,2707554.2260502675,359341.60486823664,25.0,1.5,3.0,1120.0,0.116,1.0,1.0,0,1080.763,20813.041,3737.127,8648.18,7365.857999999999,0.9120879120879121,0.16216216216216217,0.34760335891380845,0.1,0.8124716702125884,0.0,0.0,109000.0,144900.0
5786.0,2715042.079560172,359336.0452488711,69.0,1.0,3.0,1032.0,0.339,0.0,0.0,1,168.549,28297.406,8881.317,11198.867,8278.071999999998,0.7509157509157509,0.1472972972972973,0.46616418421415484,0.1,0.7216399382377809,1.0,0.0,154300.0,104200.0
5787.0,2708985.73293056,359352.99822845106,25.0,2.0,3.0,1560.0,0.183,1.0,1.0,0,1228.213,22239.898,4289.535,9277.571,7218.407999999999,0.9120879120879121,0.23648648648648649,0.39800516950336007,0.1,0.7451355692356214,0.0,0.0,171200.0,127600.0
5788.0,2704591.196256723,359306.6621729666,79.0,1.0,3.0,1460.0,0.553,1.0,0.0,0,821.616,17853.637,4193.214,7868.626,7625.004999999999,0.7142857142857143,0.2195945945945946,0.5202653958089505,0.1,0.768480845560166,0.0,0.0,153700.0,199300.0
5789.0,2708367.44206643,359330.37102990807,24.0,1.5,2.0,1390.0,0.211,1.0,1.0,0,1209.943,21624.939,4016.823,8968.928,7236.677999999999,0.9157509157509157,0.20777027027027026,0.4137451764424366,0.06666666666666667,0.7546984345953213,0.0,0.0,141300.0,123100.0
5790.0,2709087.0953387995,359342.844166594,23.0,1.0,3.0,1254.0,0.183,1.0,1.0,0,1209.683,22342.085,4353.001,9319.254,7236.937999999999,0.9194139194139194,0.1847972972972973,0.39800516950336007,0.1,0.7504199914726067,0.0,0.0,119500.0,105500.0
5791.0,2707302.945607421,359351.05403667974,27.0,2.0,2.0,1813.0,0.206,0.0,1.0,0,996.857,20559.476,3690.26,8551.767,7449.763999999999,0.9047619047619048,0.279222972972973,0.41109383810398464,0.06666666666666667,0.8095668840941762,0.0,0.0,234400.0,239900.0
5792.0,2709384.24865056,359333.5382645477,22.0,1.5,3.0,1272.0,0.183,1.0,1.0,0,1223.028,22639.086,4529.265,9464.195,7223.592999999999,0.9230769230769231,0.18783783783783783,0.39800516950336007,0.1,0.7549611312679333,0.0,0.0,127300.0,109900.0
5793.0,2706012.0980705456,359305.60166249395,94.0,1.0,3.0,1126.0,0.213,1.0,0.0,0,833.572,19275.874,3748.094,8109.572,7613.048999999999,0.6593406593406593,0.16317567567567567,0.41478816068803465,0.1,0.8030367922619566,0.0,0.0,120500.0,204900.0
5794.0,2706074.550832525,359304.82913248875,103.0,1.0,3.0,1152.0,0.216,1.0,0.0,0,838.519,19338.933,3738.178,8124.311,7608.101999999999,0.6263736263736264,0.16756756756756758,0.4163344168035476,0.1,0.7987981463675696,0.0,0.0,133400.0,214000.0
5795.0,2708827.2186691407,359329.9522423759,23.0,2.0,3.0,1904.0,0.16,1.0,1.0,0,1219.3,22080.589,4227.826,9177.324,7227.320999999999,0.9194139194139194,0.2945945945945946,0.38315620051014054,0.1,0.7412087717566216,0.0,0.0,240900.0,148800.0
5796.0,2704810.2202243046,359342.5241985594,94.0,1.0,3.0,1344.0,0.197,1.0,0.0,0,862.749,18075.008,4110.614,7926.892,7583.871999999999,0.6593406593406593,0.2,0.4061550537079036,0.1,0.7785596234362777,0.0,0.0,148400.0,204800.0
5797.0,2706137.0701892115,359302.6725375262,74.0,1.5,3.0,1510.0,0.206,1.0,0.0,0,843.297,19400.609,3729.549,8139.114,7603.323999999999,0.7326007326007327,0.22804054054054054,0.41109383810398464,0.1,0.8012060003879216,0.0,0.0,162000.0,242000.0
5798.0,2703475.0496223937,359302.66600214486,81.0,1.5,3.0,1610.0,0.25,1.0,0.0,0,578.942,16747.104,3438.809,7794.546,7867.678999999999,0.7069597069597069,0.24493243243243243,0.4324956987799444,0.1,0.8210501594924438,0.0,0.0,191900.0,311000.0
5800.0,2709231.4634095225,359315.14942062803,23.0,1.0,2.0,873.0,0.213,0.0,1.0,0,1184.328,22488.62,4456.676,9369.224,7262.293,0.9194139194139194,0.1204391891891892,0.41478816068803465,0.06666666666666667,0.8032714537551228,0.0,0.0,87700.0,102000.0
5801.0,2715089.234309555,359278.8646120207,75.0,1.0,3.0,1200.0,0.368,0.0,0.0,1,168.291,28351.872,8952.902,11160.109,8278.33,0.728937728937729,0.17567567567567569,0.4752388934401591,0.1,0.7199783889946199,1.0,0.0,185900.0,124000.0
5802.0,2708442.7617678833,359303.4228759202,23.0,1.0,3.0,1050.0,0.211,1.0,1.0,0,1194.699,21701.021,4072.505,8977.994,7251.921999999999,0.9194139194139194,0.15033783783783783,0.4137451764424366,0.1,0.7500578811692055,0.0,0.0,98200.0,88800.0
5803.0,2703740.6552020535,359321.80313090887,130.0,1.5,1.0,1337.0,0.105,1.0,0.0,0,672.361,17006.136,3587.762,7821.179,7774.259999999999,0.5274725274725275,0.19881756756756758,0.3365887310292805,0.03333333333333333,0.793469685979131,0.0,0.0,233900.0,274500.0
5804.0,2705871.906494944,359298.9460542578,44.0,1.0,3.0,1119.0,0.344,1.0,0.0,0,820.308,19136.671,3784.191,8068.152,7626.312999999999,0.8424908424908425,0.16199324324324324,0.4677828882418753,0.1,0.817117208081344,0.0,0.0,103800.0,174200.0
5805.0,2702611.8215161045,359319.9547418745,84.0,1.5,4.0,2248.0,0.684,0.0,0.0,1,236.087,15885.157,2985.671,7554.44,8210.534,0.6959706959706959,0.3527027027027027,0.5437694879747523,0.13333333333333333,0.915183473843175,1.0,0.0,537500.0,850000.0
5807.0,2706210.464038523,359290.7026557883,84.0,1.0,2.0,1648.0,0.243,0.0,0.0,0,838.404,19474.939,3731.119,8147.11,7608.216999999999,0.6959706959706959,0.25135135135135134,0.42935598038841094,0.06666666666666667,0.8002464965020725,0.0,0.0,198300.0,282000.0
5808.0,2704481.4709843844,359294.2237312942,94.0,1.0,3.0,1810.0,0.142,1.0,0.0,0,791.82,17751.629,4128.513,7837.43,7654.8009999999995,0.6593406593406593,0.27871621621621623,0.369961758844589,0.1,0.7651518106357672,0.0,0.0,234500.0,246900.0
5809.0,2706306.997557967,359287.5606667027,94.0,1.0,3.0,1428.0,0.233,0.0,0.0,0,844.978,19571.547,3722.46,8171.146,7601.642999999999,0.6593406593406593,0.2141891891891892,0.4247101073190867,0.1,0.7942606799732541,0.0,0.0,171300.0,219000.0
5810.0,2703140.326327725,359233.7863690838,103.0,1.0,3.0,1586.0,0.341,1.0,0.0,0,412.057,16419.269,3307.986,7723.814,8034.563999999999,0.6263736263736264,0.2408783783783784,0.46681451261922274,0.1,0.8458652644042974,0.0,0.0,219800.0,418000.0
5811.0,2707388.7085269806,359276.101262891,54.0,1.0,2.0,864.0,0.201,1.0,0.0,0,956.792,20650.042,3775.282,8516.447,7489.828999999999,0.8058608058608059,0.11891891891891893,0.40837734984080254,0.06666666666666667,0.8134761315539218,0.0,0.0,78600.0,137000.0
5812.0,2706486.336865615,359283.7126203121,48.0,1.0,3.0,1368.0,0.143,0.0,0.0,0,848.614,19750.866,3711.366,8220.19,7598.007,0.8278388278388278,0.20405405405405405,0.37073759016933555,0.1,0.8075580959303233,0.0,0.0,138100.0,175000.0
5813.0,2703886.6003562314,359311.957394473,59.0,1.0,3.0,1080.0,0.106,1.0,0.0,0,706.095,17156.459,3693.004,7817.779,7740.525999999999,0.7875457875457875,0.1554054054054054,0.33763665840202045,0.1,0.7907153847116388,0.0,0.0,100300.0,144100.0
5814.0,2706587.3238818278,359280.17187028803,64.0,1.5,3.0,1175.0,0.143,1.0,0.0,0,839.175,19851.205,3709.751,8248.421,7607.445999999999,0.7692307692307692,0.17145270270270271,0.37073759016933555,0.1,0.8258685289250889,0.0,0.0,113400.0,209100.0
5815.0,2708518.3910746593,359276.85273064836,23.0,1.5,3.0,1388.0,0.211,0.0,1.0,0,1179.998,21778.328,4129.171,8988.632,7266.623,0.9194139194139194,0.20743243243243242,0.4137451764424366,0.1,0.7465050002976281,0.0,0.0,150900.0,114200.0
5816.0,2706637.116281822,359278.9153409656,56.0,1.0,3.0,1160.0,0.148,1.0,0.0,0,834.506,19900.937,3709.948,8262.84,7612.114999999999,0.7985347985347986,0.16891891891891891,0.3745371225269285,0.1,0.8283832012164263,0.0,0.0,106400.0,201400.0
5817.0,2706687.005504986,359278.8174692255,56.0,1.0,2.0,1422.0,0.143,1.0,0.0,0,830.343,19951.751,3710.228,8278.448,7616.277999999999,0.7985347985347986,0.21317567567567566,0.37073759016933555,0.06666666666666667,0.8288616939662349,0.0,0.0,137300.0,249600.0
5818.0,2706786.2780467323,359276.137090375,54.0,1.0,2.0,1217.0,0.143,1.0,0.0,0,822.287,20050.265,3712.86,8309.41,7624.333999999999,0.8058608058608059,0.1785472972972973,0.37073759016933555,0.06666666666666667,0.8298309203122639,0.0,0.0,112500.0,212900.0
5819.0,2706837.6470345496,359274.56616978,62.0,1.0,3.0,1373.0,0.143,1.0,0.0,0,820.015,20101.492,3715.748,8325.44,7626.605999999999,0.7765567765567766,0.20489864864864865,0.37073759016933555,0.1,0.8295816840766845,0.0,0.0,131900.0,247800.0
