ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,NEWHOME,DFLOOD100,DFLOOD500,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE
2508,2711474.02104024,374135.779290731,94,0,2041,1.673,1,0,0,5701.312,2745.309,28113.947,163.808,23888.489,-0.447840997911544,0.659340659340659,0.317736486486486,0.642652081121366,0,0.68794015586647,185100
2510,2707220.15952569,374148.011493425,24,3,1432,0.529,1,0,0,5386.146,3060.475,24469.319,2287.577,22664.646,-0.592082090712233,0.915750915750916,0.214864864864865,0.515360095403052,0.1,0.66751742755618,70600
2511,2707077.77417103,374145.695605641,15,3,1560,0.465,1,0,0,5478.306,2968.315,24347.107,2154.408,22601.213,-0.48449349502779,0.948717948717949,0.236486486486486,0.501103848919312,0.1,0.682750622315632,80900
2512,2706914.66781279,374144.182102611,12,3,1512,0.57,1,0,0,5574.058,2872.563,24211.922,2006.176,22533.795,-0.48701000531375,0.95970695970696,0.228378378378378,0.523612835266208,0.1,0.682394316044913,77700
2513,2706728.51512933,374134.007242297,12,3,1792,0.547,1,0,0,5684.231,2762.39,24051.301,1831.324,22449.388,-0.491435888000918,0.95970695970696,0.275675675675676,0.51905932373793,0.1,0.681767666607515,91400
2515,2704384.14613063,373998.93345825,15,2,1080,1.433,1,0,1,6494.363,1952.258,22062.935,368.324,21214.759,-0.272308977623358,0.948717948717949,0.155405405405405,0.625532751298486,0.0666666666666667,0.71279328676347,81700
2516,2706537.46415493,374125.627328136,22,3,1296,0.497,0,0,0,5787.54,2659.081,23888.021,1653.121,22364.714,-0.508836645093833,0.923076923076923,0.191891891891892,0.508461607826368,0.1,0.679303937807338,68500
2517,2706356.80580607,374118.972954369,15,3,1320,0.49,1,0,0,5874.945,2571.676,23734.986,1485.515,22286.868,-0.511615095267412,0.948717948717949,0.195945945945946,0.506893418269641,0.1,0.67891054413625,66900
2518,2706186.61198703,374116.141040521,15,3,1430,0.44,1,0,0,5943.493,2503.128,23594.613,1330.392,22211.103,-0.485972725192956,0.948717948717949,0.214527027027027,0.494994255290427,0.1,0.68254118189068,74000
2519,2706021.94084976,374112.491720997,14,3,1558,0.425,1,0,0,6002.095,2444.526,23456.98,1178.112,22121.473,-0.451876682803893,0.952380952380952,0.236148648648649,0.491159575734931,0.1,0.687368753539282,82700
2521,2705701.99962832,374105.01271999,18,3,1552,0.379,1,0,0,6086.725,2359.896,23191.486,883.239,21950.401,-0.352463804130495,0.937728937728938,0.235135135135135,0.478495114387078,0.1,0.701444369386814,92600
