ID,COORDS_X,COORDS_Y,AGE,HOUSESIZE,LOTSIZE,BEDROOMS,DFLOOD100,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE_KRIGING
17844,2470301.697205149,667064.3865703098,31.0,1325.0,0.44,3.0,0.0,-0.040896147188338006,0.7737226277372262,0.10112605225757079,0.45172958119832113,0.25,0.46331681521492996,70910.4324900912
17847,2478310.873104795,678462.061562117,11.0,1153.0,0.24,2.0,0.0,-0.06175382032922805,0.9197080291970803,0.08232207281075762,0.36314798556263467,0.125,0.44271202399164034,69997.69729800794
17853,2470994.391454623,667372.4869507401,31.0,1025.0,0.39,3.0,0.0,-0.007328433733695405,0.7737226277372262,0.06832841368754783,0.4341008261013653,0.25,0.4964775480974573,54322.62525369945
17856,2484731.4747257684,678651.2352977068,54.0,2955.0,0.27,4.0,0.0,0.07998936886666641,0.6058394160583942,0.2793265551546955,0.38036097508709704,0.375,0.582736695055213,157663.82720077876
17864,2486404.616467039,680520.6681821458,73.0,2043.0,0.12,4.0,0.0,0.3074518658703145,0.46715328467153283,0.17962173390182573,0.2618504167625194,0.375,0.8074413987021466,100286.69160171205
17875,2475134.364306555,676021.15426712,25.0,1332.0,0.65,3.0,0.0,-0.07729965243644976,0.8175182481751825,0.10189133049087132,0.5087536490797345,0.25,0.4273546721529229,74944.08607999193
17881,2476995.7186039877,666816.6452326713,31.0,1315.0,0.35,3.0,0.0,0.122189331945453,0.7737226277372262,0.10003279763857002,0.41828633050413033,0.25,0.6244250187236997,82029.86397451136
17882,2490244.3407923025,679964.7596198015,50.0,2251.0,0.31,2.0,0.0,0.1396376241683317,0.635036496350365,0.20236142997704165,0.40055047280057654,0.125,0.6416617649334461,117819.99899008045
17883,2492765.492174868,676490.7682416718,37.0,1516.0,0.27,3.0,0.0,0.0990699204115515,0.7299270072992701,0.1220072154804854,0.38036097508709704,0.25,0.6015859108019507,87092.4945599307
17884,2487414.269733987,674494.4118828151,42.0,1568.0,0.29,3.0,0.0,0.23530638996899356,0.6934306569343065,0.1276921394992894,0.39080409528347243,0.25,0.736170626616965,98073.29469279385
17887,2488333.8214043784,680288.2891452379,52.0,1189.0,0.17,2.0,0.0,0.25708872414698547,0.6204379562043796,0.08625778943916038,0.3127524795793557,0.125,0.7576888681322933,60678.17202673153
17894,2483219.5365068736,672177.365618367,36.0,2134.0,0.3,3.0,0.0,-0.018167116120507032,0.7372262773722628,0.1895703509347327,0.39575851890317726,0.25,0.4857702757086701,116636.5056148168
17895,2488129.132968713,677282.6651267658,52.0,3360.0,0.64,4.0,0.0,0.2606329737072226,0.6204379562043796,0.3236033672242265,0.5064878440005764,0.375,0.7611901466180874,231679.66768679983
17900,2487480.6445099385,682162.065038237,53.0,1231.0,0.14,3.0,0.0,0.28162385358063347,0.6131386861313868,0.0908494588389636,0.28437822836347243,0.25,0.7819265295531939,66420.45092353593
17901,2485973.028833037,672976.1886861931,39.0,1824.0,0.34,3.0,0.0,0.03207513405851792,0.7153284671532847,0.155679457745709,0.414050048379471,0.25,0.5354033804435215,99285.25850968818
