ID1,BATHROOM_1,AGE_1,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,PROXAMEN_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
5778.0,2.0,27.0,960.0,0.316,0.0,1.0,0.0,0.0,0,7316.981999999999,1129.639,21253.916,3899.968,8787.597,101500.0
5779.0,1.0,94.0,1226.0,0.054,1.0,0.0,0.0,0.0,0,7660.8009999999995,785.82,17201.796,3676.875,7888.316,133000.0
5780.0,1.0,54.0,936.0,0.191,0.0,0.0,0.0,0.0,0,7632.326999999999,814.294,17676.792,4054.744,7859.71,91000.0
5782.0,1.0,94.0,1322.0,0.176,1.0,0.0,0.0,0.0,0,7773.589999999999,673.031,16930.513,3522.392,7841.904,149000.0
5783.0,2.0,2.0,1539.0,0.97,1.0,1.0,0.0,1.0,0,5443.898999999999,3002.722,10654.774,2503.683,5057.228,174000.0
5784.0,1.5,25.0,1120.0,0.116,1.0,1.0,0.0,0.0,0,7365.857999999999,1080.763,20813.041,3737.127,8648.18,109000.0
5786.0,1.0,69.0,1032.0,0.339,0.0,0.0,1.0,0.0,1,8278.071999999998,168.549,28297.406,8881.317,11198.867,154300.0
5787.0,2.0,25.0,1560.0,0.183,1.0,1.0,0.0,0.0,0,7218.407999999999,1228.213,22239.898,4289.535,9277.571,171200.0
5788.0,1.0,79.0,1460.0,0.553,1.0,0.0,0.0,0.0,0,7625.004999999999,821.616,17853.637,4193.214,7868.626,153700.0
5789.0,1.5,24.0,1390.0,0.211,1.0,1.0,0.0,0.0,0,7236.677999999999,1209.943,21624.939,4016.823,8968.928,141300.0
5790.0,1.0,23.0,1254.0,0.183,1.0,1.0,0.0,0.0,0,7236.937999999999,1209.683,22342.085,4353.001,9319.254,119500.0
5791.0,2.0,27.0,1813.0,0.206,0.0,1.0,0.0,0.0,0,7449.763999999999,996.857,20559.476,3690.26,8551.767,234400.0
